i j Omegaij  Pij
111 57 0.033516 0.031165
111 332 0.107330 0.107511
111 270 0.033459 0.034657
111 178 0.129218 0.126409
111 669 0.077462 0.077430
111 164 0.265048 0.262513
111 279 0.113315 0.112948
111 670 0.010431 0.009985
111 162 0.195394 0.195722
111 119 0.054948 0.052652
111 167 0.025593 0.025671
111 354 0.283573 0.284669
111 113 0.174191 0.174233
111 169 0.105620 0.106508
111 180 0.011229 0.010909
111 166 0.086639 0.087903
112 9 0.334183 0.334087
112 77 0.011464 0.010533
112 81 0.711956 0.712848
112 133 0.198994 0.198350
112 671 0.106338 0.104364
112 175 0.693940 0.693409
112 180 0.026634 0.025349
112 123 0.177588 0.175255
112 161 0.122665 0.122274
112 167 0.061506 0.059649
112 531 0.077421 0.076077
112 119 0.125858 0.122340
112 162 0.453705 0.454773
113 9 0.080263 0.080575
113 111 0.008317 0.007933
113 668 0.006980 0.006294
113 568 0.033092 0.031650
113 116 0.078709 0.077691
113 178 0.069645 0.070840
114 9 0.270982 0.270628
114 16 0.325119 0.326535
114 23 0.270539 0.267024
114 453 0.578566 0.577563
114 672 0.071772 0.070614
114 223 0.258668 0.259085
114 667 0.386364 0.385915
114 224 0.474999 0.478463
114 286 0.115853 0.114825
114 254 0.522327 0.520591
114 673 0.575262 0.576488
114 366 0.359674 0.360040
114 674 0.274744 0.276636
115 9 0.243236 0.241484
115 23 0.238970 0.238268
115 48 0.384247 0.385361
115 79 0.025842 0.024303
115 104 0.236287 0.235546
115 469 0.406350 0.406340
115 675 0.232763 0.231510
115 676 0.392751 0.392875
115 343 0.197646 0.195117
115 677 0.136729 0.134049
115 268 0.504481 0.507140
115 467 0.364883 0.363860
115 592 0.081264 0.080442
115 126 0.102169 0.102394
115 127 0.463171 0.464048
115 273 0.238328 0.239836
115 647 0.108890 0.108321
115 445 0.117423 0.116415
115 304 0.486872 0.486633
115 389 0.306707 0.307738
115 204 0.337129 0.334691
115 678 0.483419 0.483046
115 438 0.036473 0.036111
115 193 0.150428 0.150370
115 214 0.359475 0.360022
115 212 0.530194 0.529799
115 434 0.167608 0.169192
115 641 0.107249 0.109927
115 205 0.145334 0.142281
115 209 0.015097 0.014013
115 213 0.149501 0.148208
115 306 0.006521 0.006038
115 200 0.269849 0.268942
115 288 0.036159 0.036649
115 679 0.517295 0.517773
115 680 0.182463 0.183828
115 203 0.277954 0.276530
115 197 0.435674 0.432242
116 9 0.264905 0.265618
116 69 0.372481 0.373512
116 75 0.318453 0.318958
116 109 0.037748 0.037934
116 113 0.324788 0.321873
116 134 0.441395 0.443463
116 184 0.408417 0.410852
116 123 0.140399 0.139338
116 568 0.105020 0.104335
116 118 0.544262 0.546506
116 166 0.161805 0.162390
116 681 0.289518 0.289656
116 132 0.143837 0.142862
116 160 0.259623 0.261405
116 531 0.062780 0.060485
116 119 0.096904 0.097268
117 9 0.366761 0.367767
117 92 0.629320 0.628166
117 682 0.776877 0.777426
117 516 0.432243 0.431656
117 440 0.449908 0.446536
117 628 0.180427 0.182192
117 204 0.510713 0.509718
117 683 0.054182 0.053292
117 468 0.287190 0.286333
118 9 0.252055 0.251227
118 23 0.245234 0.247882
118 75 0.302731 0.301678
118 109 0.036572 0.035879
118 116 0.243489 0.242235
118 123 0.132993 0.131789
118 168 0.469831 0.470890
118 668 0.019454 0.019623
118 568 0.100358 0.098682
119 9 0.194006 0.193531
119 18 0.186047 0.187477
119 23 0.190557 0.190953
119 32 0.111823 0.112687
119 77 0.006391 0.006101
119 79 0.019540 0.019477
119 107 0.192578 0.189543
119 111 0.018756 0.019055
119 112 0.163198 0.161974
119 116 0.186865 0.186603
119 232 0.084150 0.082508
119 331 0.125216 0.124835
119 684 0.251493 0.249080
119 568 0.078125 0.076019
119 531 0.046377 0.044070
119 165 0.261594 0.263915
119 177 0.152000 0.153741
119 167 0.035632 0.034553
119 164 0.354052 0.353343
119 181 0.339684 0.342543
119 668 0.016788 0.015117
119 173 0.142718 0.141186
119 175 0.407098 0.401679
119 168 0.365546 0.362746
119 169 0.141864 0.143360
119 160 0.190592 0.190461
119 171 0.121036 0.121776
119 162 0.263440 0.263442
119 178 0.170930 0.170147
119 180 0.014542 0.014684
119 562 0.115480 0.114874
119 296 0.404713 0.407840
120 9 0.343128 0.342196
120 23 0.339079 0.337639
120 77 0.010622 0.010788
120 177 0.273826 0.271841
120 162 0.465959 0.465811
120 168 0.640722 0.641398
120 562 0.205758 0.203118
120 165 0.467163 0.466647
120 173 0.248099 0.249642
120 164 0.625428 0.624772
120 171 0.215639 0.215321
120 167 0.063962 0.061096
121 9 0.001052 0.000448
121 428 0.000868 0.000902
121 544 0.000825 0.000860
121 685 0.000924 0.000872
121 330 0.001166 0.000016
121 328 0.000868 0.000501
121 542 0.000967 0.000274
121 251 0.001095 0.000755
121 686 0.000740 0.000957
121 687 0.000996 0.000805
121 289 0.000939 0.000097
121 354 0.001038 0.000887
121 688 0.000939 0.000080
121 286 0.000981 0.000190
122 9 0.378572 0.379922
122 13 0.602351 0.599702
122 15 0.088389 0.085646
123 9 0.104373 0.103064
123 13 0.163060 0.162684
123 14 0.068025 0.067627
123 23 0.101578 0.101691
123 53 0.087069 0.086950
123 57 0.022591 0.022340
123 75 0.126680 0.123760
123 109 0.015262 0.014719
123 112 0.085864 0.086258
123 116 0.101996 0.099374
123 118 0.214787 0.212052
123 182 0.020299 0.019329
123 175 0.211808 0.213912
123 554 0.200529 0.202617
123 689 0.183175 0.182494
123 568 0.040832 0.040483
123 690 0.107870 0.105107
124 9 0.413125 0.408923
124 691 0.095549 0.092167
124 136 0.085012 0.084876
124 428 0.821016 0.823182
124 328 0.462189 0.457251
124 366 0.545911 0.544027
124 286 0.171493 0.173503
124 181 0.722457 0.723781
124 254 0.787255 0.786622
124 692 0.860046 0.863202
124 693 0.221346 0.221788
125 9 0.004791 0.004476
125 24 0.008624 0.008502
125 683 0.001142 0.000649
126 9 0.090800 0.090476
126 15 0.020963 0.020396
126 79 0.010091 0.009106
126 115 0.148523 0.149434
126 646 0.194894 0.195635
126 273 0.089599 0.089858
126 593 0.106918 0.108029
126 694 0.020062 0.018575
126 695 0.030894 0.030081
126 207 0.135609 0.135280
126 445 0.044149 0.043617
126 218 0.168345 0.165612
126 648 0.166363 0.168598
126 647 0.040444 0.040584
126 198 0.197057 0.194683
127 9 0.415297 0.415246
127 48 0.662457 0.662651
127 51 0.478310 0.481907
127 54 0.342623 0.339207
127 55 0.811144 0.810068
127 73 0.911344 0.911024
127 78 0.244663 0.244778
127 84 0.825171 0.824793
127 100 0.485117 0.484799
127 103 0.174829 0.174238
127 104 0.406564 0.405036
127 106 0.829709 0.830392
127 115 0.685131 0.685839
127 302 0.183034 0.179810
127 136 0.087229 0.086188
127 428 0.836045 0.835909
127 230 0.728039 0.728350
127 242 0.677012 0.674777
127 205 0.244792 0.244660
127 320 0.814155 0.813744
127 193 0.259389 0.258571
127 324 0.060203 0.059308
127 292 0.612614 0.609764
127 323 0.889797 0.888759
127 679 0.891695 0.890342
127 216 0.395876 0.391090
127 438 0.062443 0.062095
127 181 0.737500 0.734971
127 434 0.291410 0.290935
127 273 0.413827 0.412412
127 195 0.877183 0.876787
127 304 0.838071 0.836795
127 206 0.523288 0.523595
127 288 0.064883 0.063021
127 200 0.461901 0.462462
127 696 0.169521 0.170531
128 9 0.135002 0.133440
128 15 0.032420 0.030081
128 104 0.130509 0.130159
128 640 0.181857 0.181673
128 199 0.283212 0.281464
128 642 0.025246 0.024718
128 316 0.077664 0.078615
129 9 0.353371 0.353378
129 84 0.701884 0.701908
129 467 0.531909 0.532459
129 671 0.109054 0.110390
129 697 0.482391 0.482729
129 193 0.221698 0.220046
129 326 0.396575 0.394345
129 400 0.716848 0.715344
129 204 0.494327 0.489775
129 698 0.780896 0.780811
129 436 0.041532 0.041002
130 10 0.211243 0.208008
130 93 0.145464 0.144779
130 134 0.190700 0.190003
130 610 0.221632 0.219077
130 133 0.068295 0.067567
130 296 0.242705 0.239829
130 699 0.076462 0.076670
130 700 0.112398 0.112011
130 584 0.037010 0.036319
130 329 0.244809 0.244272
130 154 0.081642 0.083556
130 535 0.226915 0.226949
130 701 0.002104 0.001016
130 459 0.190332 0.190565
130 702 0.234346 0.232228
130 233 0.251637 0.250098
130 613 0.210522 0.209508
130 480 0.091252 0.092707
130 136 0.024045 0.023621
130 703 0.011537 0.011172
130 676 0.187197 0.185152
131 10 0.746524 0.745786
131 60 0.327083 0.320586
131 100 0.476702 0.476379
131 243 0.749206 0.748734
131 312 0.226086 0.222268
131 469 0.686760 0.686591
131 546 0.121911 0.120165
131 500 0.411575 0.413490
131 637 0.667812 0.668267
131 616 0.522901 0.519843
131 330 0.014579 0.014571
131 258 0.456602 0.456269
132 10 0.084310 0.085144
132 44 0.022965 0.023085
132 51 0.055772 0.054062
132 55 0.091058 0.090876
132 72 0.068093 0.067383
132 78 0.027886 0.027460
132 116 0.046042 0.044916
132 474 0.004977 0.004055
132 564 0.102000 0.099377
132 133 0.028520 0.027657
132 281 0.015770 0.015802
132 233 0.102168 0.102372
132 212 0.104461 0.102202
132 445 0.022741 0.022457
133 10 0.079415 0.076147
133 22 0.085242 0.085921
133 40 0.034534 0.034222
133 41 0.013296 0.012182
133 70 0.090163 0.089068
133 73 0.092667 0.091402
133 80 0.004518 0.004184
133 86 0.075227 0.075111
133 105 0.054277 0.054126
133 112 0.035786 0.034868
133 130 0.046521 0.046026
133 132 0.022548 0.022407
133 584 0.014562 0.013296
133 134 0.067241 0.069556
133 154 0.031225 0.030588
133 226 0.072911 0.074840
133 337 0.062637 0.061913
133 480 0.035038 0.033938
133 704 0.016764 0.016921
133 705 0.070652 0.069925
133 690 0.043139 0.042487
133 585 0.040089 0.039604
133 350 0.018706 0.017111
133 662 0.011699 0.011624
133 367 0.036707 0.037754
133 376 0.035556 0.035931
133 239 0.037412 0.035430
133 447 0.093056 0.092750
133 139 0.009195 0.008280
133 417 0.049499 0.048167
133 313 0.073270 0.075966
133 706 0.090768 0.090371
133 371 0.074551 0.075590
133 606 0.003252 0.002046
133 707 0.026232 0.025716
133 444 0.051600 0.051317
133 486 0.081703 0.080061
133 708 0.061558 0.060715
133 253 0.084379 0.085537
134 10 0.492509 0.490480
134 22 0.556421 0.553440
134 40 0.220562 0.220430
134 43 0.432377 0.433614
134 51 0.311715 0.311430
134 98 0.357634 0.359224
134 103 0.112015 0.112601
134 116 0.253724 0.258745
134 130 0.298944 0.296467
134 133 0.160474 0.159322
134 195 0.566995 0.566620
134 393 0.568365 0.569793
134 523 0.257249 0.258591
134 605 0.523459 0.523889
134 709 0.134917 0.133008
134 386 0.463713 0.462390
134 710 0.399486 0.398822
134 310 0.361701 0.362331
134 339 0.276513 0.277956
134 597 0.396062 0.396035
134 585 0.258933 0.255101
134 567 0.353353 0.349783
134 430 0.538328 0.538391
134 711 0.369877 0.373024
134 503 0.290839 0.291083
134 396 0.060716 0.060479
134 544 0.518322 0.515092
134 466 0.032406 0.032943
134 712 0.293450 0.291398
134 713 0.516039 0.513128
134 456 0.053739 0.053899
134 147 0.563114 0.565906
134 366 0.357163 0.357011
134 479 0.052112 0.050908
134 692 0.565026 0.566466
134 183 0.119678 0.119196
134 154 0.198388 0.197025
134 714 0.582691 0.583164
134 226 0.481564 0.482064
134 331 0.173159 0.173097
135 10 0.682505 0.680591
135 13 0.592214 0.587771
135 78 0.220838 0.219500
135 611 0.553096 0.553793
135 564 0.794285 0.794360
135 301 0.756463 0.755714
135 715 0.784664 0.781732
135 575 0.116144 0.115439
135 716 0.599919 0.598326
135 717 0.127263 0.128750
135 312 0.201034 0.202838
135 532 0.478821 0.479263
135 212 0.816336 0.816942
135 681 0.407383 0.406062
136 10 0.339618 0.338947
136 18 0.178459 0.179643
136 93 0.241786 0.235915
136 105 0.241379 0.240928
136 124 0.042593 0.040555
136 127 0.354998 0.356359
136 130 0.206311 0.204874
136 710 0.274933 0.275606
136 661 0.034932 0.033525
136 451 0.012704 0.012419
136 237 0.250979 0.250798
136 242 0.302417 0.301348
136 268 0.389561 0.389451
136 181 0.326157 0.328230
136 584 0.061154 0.059182
136 137 0.253928 0.252696
136 553 0.100993 0.099748
136 238 0.082334 0.082364
136 375 0.041080 0.039771
136 453 0.395167 0.395768
136 587 0.285465 0.283979
136 412 0.139939 0.139074
136 320 0.364987 0.363409
136 213 0.113387 0.113814
136 361 0.119477 0.117547
136 229 0.116936 0.117125
136 442 0.120195 0.120846
136 519 0.172175 0.172927
136 419 0.139959 0.138656
136 232 0.081171 0.079060
136 458 0.354378 0.353969
136 331 0.120738 0.119619
137 10 0.799105 0.796173
137 136 0.090966 0.090413
137 229 0.277073 0.275122
137 239 0.370822 0.370447
138 11 0.150219 0.149204
138 146 0.211338 0.210087
138 145 0.114891 0.114871
139 11 0.625471 0.627818
139 61 0.298679 0.299424
139 71 0.777610 0.778077
139 83 0.089398 0.089534
139 133 0.256958 0.256123
139 146 0.885218 0.883998
139 147 0.910223 0.909741
139 141 0.147716 0.149229
139 149 0.522863 0.516020
139 145 0.484310 0.483351
139 298 0.936363 0.936854
139 266 0.454384 0.454453
139 353 0.581678 0.583529
139 503 0.471200 0.467940
139 142 0.192345 0.194519
139 299 0.583391 0.586263
139 348 0.220697 0.218656
139 718 0.235401 0.234874
139 151 0.782730 0.781879
139 331 0.278576 0.278269
139 328 0.484011 0.482380
139 648 0.804168 0.803889
139 395 0.811799 0.810737
139 719 0.928892 0.928681
139 572 0.372079 0.375498
139 720 0.434719 0.436015
139 504 0.898548 0.898167
139 144 0.445558 0.449612
139 148 0.714750 0.714360
139 721 0.778307 0.776195
139 313 0.787073 0.786619
139 311 0.738818 0.737582
139 312 0.236178 0.234995
139 332 0.324839 0.322573
140 11 0.021666 0.020855
140 83 0.002799 0.002974
140 353 0.020491 0.019384
140 722 0.009480 0.008569
140 718 0.007469 0.007802
140 141 0.005335 0.004957
140 145 0.016779 0.016056
140 151 0.025733 0.025973
141 11 0.506807 0.506488
141 139 0.069392 0.069171
141 140 0.583929 0.583245
141 142 0.158634 0.156927
141 353 0.470729 0.470759
141 151 0.632089 0.630776
141 722 0.206700 0.208107
141 648 0.651640 0.648533
141 590 0.401412 0.401592
141 403 0.150044 0.146800
141 146 0.714440 0.713160
141 147 0.735523 0.733928
141 149 0.416967 0.416296
141 145 0.389554 0.389940
141 723 0.371851 0.370563
141 442 0.229744 0.226794
141 312 0.192247 0.189581
141 503 0.376464 0.377508
141 354 0.687830 0.689047
141 331 0.225523 0.224492
141 577 0.769678 0.766028
142 11 0.574832 0.570407
142 22 0.807498 0.808342
142 82 0.191280 0.193238
142 83 0.082772 0.081346
142 139 0.077759 0.077901
142 141 0.139349 0.135583
142 722 0.236532 0.234370
142 146 0.806321 0.803160
142 238 0.176058 0.174081
142 145 0.439488 0.439150
142 724 0.232100 0.228320
142 725 0.217856 0.217838
142 632 0.709443 0.708475
142 503 0.425259 0.425149
142 331 0.250990 0.252822
142 412 0.295524 0.293940
142 726 0.626702 0.630308
142 395 0.738450 0.736599
142 590 0.450476 0.452273
142 380 0.719194 0.719107
142 727 0.300170 0.301630
142 728 0.186756 0.187197
142 729 0.799749 0.797866
142 589 0.702734 0.699911
142 410 0.266502 0.267684
142 298 0.849220 0.851182
142 409 0.618235 0.618522
142 275 0.726086 0.726052
142 730 0.726636 0.727014
143 11 0.049820 0.048925
143 558 0.054264 0.052024
143 731 0.053835 0.055544
143 386 0.058628 0.057927
143 732 0.035853 0.035108
143 733 0.015379 0.014400
143 363 0.061644 0.060242
143 555 0.017411 0.017237
144 11 0.245321 0.244463
144 61 0.116171 0.116591
144 139 0.034862 0.033386
144 370 0.209213 0.208054
144 415 0.224173 0.223021
144 330 0.006174 0.005999
144 734 0.108574 0.106280
144 145 0.190074 0.188210
144 735 0.338701 0.337369
144 266 0.175378 0.176958
144 240 0.079755 0.079115
144 572 0.147835 0.146213
144 184 0.259328 0.259827
144 236 0.197730 0.196087
144 353 0.227121 0.227218
144 149 0.203801 0.200931
144 371 0.307227 0.304780
144 151 0.304250 0.304452
145 11 0.161463 0.160399
145 51 0.126280 0.127910
145 83 0.023460 0.022875
145 138 0.241980 0.242921
145 139 0.022202 0.021906
145 140 0.185952 0.184707
145 141 0.039715 0.038126
145 142 0.050924 0.049697
145 144 0.115028 0.114870
145 370 0.137888 0.136510
145 572 0.095399 0.095935
145 146 0.226854 0.225850
145 353 0.149625 0.149084
145 149 0.130954 0.131836
145 331 0.071110 0.071094
145 184 0.169311 0.170480
145 736 0.087093 0.086830
145 147 0.232687 0.232427
145 504 0.227212 0.229470
145 148 0.181077 0.182509
145 361 0.070152 0.069862
145 315 0.197918 0.199531
145 238 0.048565 0.048952
145 427 0.194659 0.193728
145 228 0.229828 0.229935
145 151 0.203823 0.199760
146 11 0.239065 0.237368
146 28 0.267169 0.263096
146 75 0.194656 0.195858
146 76 0.011241 0.010920
146 138 0.358441 0.359488
146 139 0.033467 0.032417
146 141 0.057905 0.056421
146 142 0.073354 0.073544
146 145 0.183572 0.182747
146 151 0.294402 0.295616
146 313 0.294473 0.297408
146 182 0.030472 0.030589
146 149 0.194827 0.195099
146 737 0.339325 0.337268
146 238 0.074909 0.072442
146 572 0.140803 0.141970
146 506 0.127293 0.128149
146 738 0.102899 0.102807
146 353 0.220819 0.220623
146 719 0.350809 0.351119
146 395 0.307241 0.306527
147 11 0.516255 0.515588
147 74 0.598241 0.596953
147 134 0.592105 0.591486
147 139 0.070600 0.070414
147 141 0.123493 0.122552
147 145 0.396224 0.396946
147 205 0.209125 0.208739
147 572 0.311535 0.308373
147 363 0.638375 0.634844
147 718 0.193120 0.192887
147 377 0.504741 0.500537
147 151 0.644912 0.642108
148 11 0.450808 0.451732
148 139 0.062865 0.061693
148 145 0.347984 0.347784
148 266 0.326502 0.326992
148 720 0.314512 0.313725
148 736 0.245551 0.244538
148 370 0.384228 0.384454
148 572 0.271054 0.270181
148 184 0.479664 0.480122
148 504 0.645412 0.646256
148 149 0.369205 0.371290
148 151 0.560208 0.562583
148 691 0.070340 0.069961
149 11 0.385925 0.384565
149 61 0.185060 0.183410
149 62 0.031841 0.031255
149 75 0.315149 0.317314
149 83 0.054294 0.054843
149 139 0.053212 0.052520
149 141 0.090302 0.091409
149 144 0.274353 0.275407
149 145 0.297037 0.296073
149 146 0.541668 0.541487
149 148 0.439094 0.437576
149 151 0.481448 0.478934
149 353 0.357142 0.357437
149 572 0.231812 0.230008
149 240 0.125229 0.124455
149 539 0.015271 0.014743
149 182 0.049665 0.049558
149 242 0.430875 0.429406
149 403 0.112467 0.111462
149 577 0.584599 0.581628
150 11 0.677193 0.650449
150 240 0.266667 0.210502
151 11 0.119999 0.121298
151 74 0.138147 0.140440
151 83 0.017520 0.017298
151 139 0.017192 0.016566
151 140 0.141956 0.139680
151 141 0.028905 0.028832
151 144 0.086943 0.086867
151 145 0.093235 0.093386
151 146 0.171303 0.170793
151 147 0.176197 0.175767
151 148 0.139174 0.138018
151 149 0.100297 0.099698
151 738 0.054471 0.052535
151 266 0.088798 0.087803
151 370 0.103792 0.103232
151 734 0.051375 0.052734
151 558 0.128902 0.128981
151 299 0.113693 0.113269
151 556 0.066855 0.066400
151 242 0.136806 0.135441
151 736 0.066370 0.065663
151 572 0.073090 0.072548
151 739 0.102679 0.100078
151 740 0.036937 0.036263
151 184 0.128588 0.128921
151 722 0.050148 0.049839
151 741 0.056155 0.055980
152 11 0.183389 0.187063
152 12 0.094288 0.094092
152 83 0.027014 0.026677
152 395 0.239765 0.241565
152 742 0.237489 0.236682
152 743 0.019652 0.018359
152 411 0.109694 0.109292
152 744 0.055115 0.055367
152 745 0.024116 0.023810
152 746 0.026318 0.025800
152 355 0.076535 0.076316
152 589 0.226142 0.229533
152 747 0.059246 0.058532
152 590 0.148157 0.148321
153 12 0.172327 0.171944
153 103 0.099441 0.098561
153 217 0.179553 0.177748
154 12 0.020056 0.019672
154 80 0.002829 0.002699
154 130 0.030436 0.029689
154 133 0.017555 0.015955
154 134 0.044739 0.044867
154 376 0.024324 0.023177
154 236 0.032327 0.031370
154 676 0.043473 0.043721
154 361 0.018321 0.017034
154 444 0.033515 0.033102
154 345 0.047725 0.046776
154 414 0.022151 0.021535
154 585 0.025011 0.025547
154 343 0.020884 0.021714
154 417 0.032108 0.031070
154 584 0.008988 0.008576
154 374 0.004064 0.003478
154 377 0.037329 0.037968
155 12 0.289641 0.293041
155 268 0.842447 0.840708
155 686 0.853258 0.855109
155 701 0.003961 0.003573
155 661 0.073594 0.072371
155 267 0.216405 0.217114
156 12 0.182287 0.179985
156 20 0.401798 0.400632
156 30 0.167486 0.166821
156 39 0.149238 0.149272
156 41 0.070704 0.071895
156 51 0.287793 0.285345
156 91 0.438591 0.439855
156 334 0.169582 0.169563
156 740 0.109354 0.106975
156 245 0.423345 0.424141
156 331 0.157456 0.158599
156 332 0.186938 0.183850
156 748 0.291299 0.291840
157 12 0.171639 0.172208
157 749 0.427793 0.428355
157 750 0.358736 0.357311
157 660 0.018371 0.017336
157 751 0.472047 0.472347
157 390 0.385283 0.385378
157 752 0.134595 0.133250
157 394 0.041342 0.039395
157 753 0.031190 0.030973
157 182 0.045754 0.044119
157 754 0.321533 0.318527
157 648 0.436747 0.438381
158 12 0.092751 0.092728
158 755 0.037849 0.037886
158 433 0.257851 0.254752
159 12 0.058460 0.055964
159 756 0.094529 0.091477
159 757 0.096886 0.099199
159 758 0.033880 0.033292
160 13 0.039904 0.038873
160 77 0.001029 0.000776
160 79 0.002721 0.002478
160 116 0.022980 0.023745
160 119 0.009889 0.009018
160 189 0.017521 0.016377
160 182 0.005193 0.004619
160 184 0.040302 0.038092
160 583 0.054372 0.052599
161 13 0.621175 0.622127
161 77 0.011732 0.012425
161 112 0.325908 0.329864
161 583 0.841117 0.841803
161 175 0.817474 0.818028
161 195 0.832817 0.832200
161 326 0.436294 0.439820
161 196 0.197331 0.193621
161 400 0.797308 0.797836
161 698 0.868596 0.870852
161 296 0.830978 0.830574
161 197 0.709040 0.705470
162 13 0.429217 0.429802
162 111 0.027532 0.026809
162 112 0.229743 0.227889
162 119 0.099507 0.099710
162 120 0.518593 0.517216
162 632 0.494504 0.492181
162 350 0.110759 0.111836
162 759 0.213048 0.212415
162 488 0.074003 0.074758
162 321 0.159337 0.158653
163 13 0.214517 0.214870
163 270 0.033282 0.032812
163 172 0.067450 0.068584
163 166 0.084957 0.083222
163 167 0.025143 0.024304
163 321 0.079940 0.079315
163 164 0.247577 0.248532
164 13 0.285573 0.286300
164 111 0.017513 0.017858
164 119 0.066771 0.066419
164 120 0.342705 0.344528
164 163 0.191373 0.191881
164 238 0.081644 0.080557
164 171 0.113579 0.114128
164 173 0.135204 0.132319
164 166 0.109452 0.110887
164 562 0.108358 0.107660
164 165 0.248826 0.247340
164 167 0.032328 0.032383
164 296 0.384949 0.382226
165 13 0.066810 0.066460
165 119 0.014783 0.015418
165 120 0.080827 0.079977
165 164 0.077427 0.076872
165 181 0.075255 0.074523
165 491 0.049761 0.050186
165 167 0.007870 0.007517
165 360 0.023164 0.023776
165 177 0.033780 0.033447
166 13 0.405816 0.400750
166 23 0.251967 0.250502
166 111 0.023931 0.024997
166 116 0.241851 0.244795
166 163 0.270455 0.268587
166 164 0.460628 0.463532
166 236 0.296634 0.296365
166 531 0.058215 0.057813
167 13 0.064761 0.064330
167 14 0.027035 0.026742
167 23 0.040102 0.040211
167 111 0.004055 0.004013
167 112 0.035964 0.034109
167 119 0.015975 0.014924
167 120 0.077336 0.077413
167 163 0.043215 0.043115
167 164 0.074673 0.074408
167 165 0.056486 0.055576
167 236 0.047966 0.047573
167 562 0.026502 0.024190
167 321 0.024004 0.023746
167 690 0.040716 0.041562
167 531 0.010077 0.009280
168 13 0.029428 0.028274
168 32 0.012250 0.010430
168 69 0.026073 0.025188
168 118 0.037979 0.036854
168 119 0.006874 0.006559
168 120 0.034325 0.034025
169 13 0.591879 0.595787
169 69 0.526836 0.530759
169 111 0.038025 0.037163
169 119 0.138789 0.138217
169 489 0.833556 0.828745
170 13 0.187794 0.189389
170 500 0.121765 0.121586
170 583 0.265000 0.256264
171 13 0.392816 0.392980
171 119 0.092075 0.091167
171 120 0.473618 0.472905
171 164 0.457405 0.454544
171 296 0.521915 0.524650
171 562 0.148334 0.147776
172 13 0.473971 0.478904
172 163 0.323703 0.320967
173 13 0.576251 0.571751
173 23 0.354953 0.357391
173 119 0.132587 0.132640
173 120 0.688322 0.688035
173 164 0.663129 0.661321
174 13 0.508736 0.513149
175 13 0.536283 0.532341
175 23 0.330403 0.332757
175 77 0.011076 0.010632
175 79 0.033514 0.033941
175 81 0.718484 0.719592
175 112 0.281045 0.282257
175 119 0.122409 0.123498
175 123 0.178804 0.176913
175 161 0.123537 0.123431
175 389 0.428204 0.429776
175 583 0.718242 0.720313
175 180 0.025735 0.025588
175 219 0.069526 0.069216
175 196 0.166572 0.165678
175 195 0.715430 0.712096
175 760 0.384970 0.386107
175 181 0.595204 0.596918
175 197 0.602512 0.603655
175 326 0.375036 0.376345
176 13 0.394479 0.393653
176 583 0.527866 0.532654
176 181 0.442266 0.441406
177 13 0.546034 0.547749
177 29 0.191704 0.192074
177 119 0.125813 0.127072
177 120 0.659688 0.659152
177 165 0.474863 0.473211
177 243 0.632841 0.636756
178 13 0.323410 0.325735
178 111 0.021299 0.020318
178 113 0.248168 0.250063
178 119 0.074191 0.075567
178 279 0.160809 0.162106
178 668 0.017497 0.016119
179 13 0.442423 0.439481
179 81 0.596394 0.594068
180 13 0.171600 0.173172
180 77 0.003633 0.003459
180 111 0.011326 0.010802
180 112 0.092745 0.091819
180 119 0.038038 0.040174
180 175 0.233786 0.227701
180 343 0.093066 0.088643
180 548 0.147986 0.148148
180 313 0.203441 0.200043
180 196 0.055455 0.053895
181 13 0.146690 0.144298
181 22 0.188302 0.188532
181 23 0.090357 0.090198
181 27 0.090029 0.090794
181 33 0.108474 0.110169
181 51 0.108873 0.106091
181 69 0.131826 0.128548
181 81 0.197932 0.195054
181 106 0.181641 0.182809
181 109 0.014251 0.013055
181 119 0.033680 0.033476
181 124 0.020086 0.019992
181 127 0.177175 0.175668
181 136 0.019044 0.018974
181 165 0.124479 0.124661
181 175 0.189016 0.189735
181 176 0.036705 0.035476
181 230 0.158944 0.160344
181 233 0.204194 0.200894
181 240 0.043837 0.043055
181 236 0.107546 0.106712
181 276 0.191155 0.190293
181 761 0.200399 0.199934
181 531 0.021455 0.020817
181 295 0.137575 0.135226
181 562 0.055877 0.054261
181 286 0.038431 0.038787
181 762 0.076933 0.076727
181 291 0.023481 0.023972
182 14 0.250015 0.251895
182 53 0.325142 0.323866
182 75 0.460012 0.460977
182 77 0.012541 0.012103
182 86 0.691722 0.692108
182 104 0.377762 0.374448
182 123 0.204132 0.201379
182 146 0.783672 0.786643
182 149 0.462772 0.459190
182 157 0.781277 0.781526
182 160 0.375550 0.377797
182 566 0.317917 0.317852
182 186 0.790592 0.789085
182 763 0.260629 0.260778
182 699 0.253364 0.258623
182 624 0.513384 0.515566
182 383 0.731944 0.730050
182 358 0.083386 0.083081
182 188 0.011811 0.011139
182 392 0.069586 0.070263
182 380 0.706699 0.704318
182 714 0.833736 0.834240
182 340 0.493070 0.490154
182 723 0.407655 0.408745
182 725 0.212655 0.213358
182 366 0.507052 0.510719
182 190 0.565822 0.561129
182 550 0.263389 0.262120
182 764 0.720620 0.718864
182 565 0.410049 0.413851
182 601 0.622177 0.620276
182 603 0.245957 0.243299
182 765 0.697932 0.698182
182 189 0.255434 0.255290
182 184 0.591939 0.593786
183 14 0.154242 0.155177
183 79 0.024588 0.023800
183 134 0.393249 0.394830
183 184 0.367016 0.365795
183 268 0.494729 0.496651
183 571 0.459626 0.458016
