Inf_UN Inf_GT Sus_UN Sus_GT F_GT G_GT
0.1690 0.1719 0.7340 0.7209 0.4609 1.8548
0.6150 0.6259 0.8690 0.8539 6.7275 8.1712
0.0150 0.0153 0.0550 0.0540 0.1855 0.6593
0.0600 0.0611 0.6750 0.6633 0.9494 11.2172
0.5490 0.5584 0.3490 0.3427 1.2243 0.6568
0.7810 0.7946 0.7540 0.7407 6.8837 6.7498
0.9460 0.9624 0.1230 0.1208 4.0754 0.5396
0.9880 1.0052 0.0190 0.0187 6.4180 0.1049
0.4340 0.4414 0.5980 0.5870 1.0351 0.6369
0.3750 0.3815 0.5410 0.5313 1.0691 1.0950
0.5740 0.5840 0.0390 0.0383 2.8000 0.1958
0.5020 0.5107 0.8830 0.8672 2.3689 3.0587
0.3010 0.3063 0.8160 0.8018 1.5784 4.5353
0.7800 0.7930 0.9630 0.9441 0.8666 0.4873
0.3920 0.3988 0.0680 0.0668 1.3485 0.2430
0.2120 0.2157 0.0850 0.0835 1.0070 0.4255
0.6810 0.6929 0.3650 0.3586 5.0074 2.6744
0.6790 0.6907 0.8240 0.8093 2.0689 2.1927
0.1670 0.1701 0.1130 0.1112 1.6817 1.3248
0.9300 0.9463 0.2280 0.2240 8.2277 1.8078
0.8410 0.8558 0.7120 0.6996 5.9753 5.4646
0.3300 0.3358 0.0400 0.0393 2.3268 0.2555
0.3480 0.3542 0.8610 0.8459 1.9286 4.9654
0.6540 0.6578 0.3000 0.2935 0.0634 0.0735
0.0620 0.0631 0.1230 0.1209 0.4742 1.1289
0.6460 0.6569 0.9840 0.9666 1.1292 2.4384
0.9280 0.9441 0.7050 0.6927 3.3993 3.1175
0.6130 0.6233 0.5350 0.5247 0.8202 0.3328
0.7830 0.7876 0.1880 0.1839 0.0760 0.0461
0.1010 0.1016 0.3370 0.3297 0.0098 0.0826
0.7830 0.7967 0.4520 0.4442 5.8991 3.6332
0.2260 0.2299 0.1580 0.1548 0.3035 0.0487
0.4890 0.4974 0.4770 0.4686 1.2748 1.2898
0.0550 0.0560 0.2780 0.2737 0.1229 0.9419
0.4630 0.4711 0.2850 0.2798 2.0446 0.3534
0.9240 0.9402 0.2050 0.2014 7.6138 1.7339
0.2470 0.2514 0.4540 0.4461 2.1906 4.8587
0.2800 0.2841 0.0760 0.0746 0.0986 0.0606
0.5250 0.5342 0.0410 0.0403 4.1396 0.3126
0.4170 0.4243 0.4860 0.4775 5.7784 6.8740
0.7220 0.7346 0.9330 0.9165 3.4360 4.4075
0.0600 0.0610 0.7030 0.6907 0.1322 3.1930
0.2770 0.2818 0.3520 0.3459 1.3952 2.9248
0.2060 0.2096 0.2350 0.2309 1.0570 1.7686
0.8520 0.8668 0.2550 0.2505 3.7479 0.8996
0.1070 0.1089 0.8320 0.8173 0.3895 3.2772
0.9350 0.9511 0.0990 0.0972 2.5834 0.1481
0.8660 0.8812 0.7770 0.7634 8.3552 5.0186
0.2710 0.2757 0.4580 0.4500 1.1620 2.5598
0.0220 0.0230 0.4250 0.4069 0.0256 0.0179
0.4040 0.4108 0.9480 0.9308 0.8500 2.1188
0.2060 0.2092 0.2760 0.2705 0.1265 0.1275
0.8140 0.8280 0.5260 0.5167 3.1738 2.0651
0.3390 0.3449 0.7190 0.7063 2.5944 6.2970
0.2570 0.2611 0.9590 0.9399 0.1578 0.4431
0.2980 0.3032 0.4180 0.4105 0.8699 0.8452
0.5000 0.5088 0.6000 0.5895 2.9075 3.0606
0.1540 0.1566 0.1100 0.1080 0.2615 0.2850
0.4810 0.4894 0.9280 0.9116 2.7494 5.7536
0.2820 0.2868 0.4320 0.4242 0.7309 0.8441
0.2720 0.2766 0.4090 0.4014 0.4246 0.3808
0.6880 0.6992 0.6870 0.6742 0.5903 0.5984
0.1270 0.1292 0.3320 0.3261 0.5116 1.0846
0.9840 1.0013 0.0340 0.0334 4.8629 0.1600
0.2810 0.2859 0.9930 0.9753 0.7472 2.5411
0.6310 0.6417 0.3680 0.3609 0.9667 0.2083
0.1240 0.1261 0.6750 0.6616 0.1788 0.3267
0.4690 0.4773 0.1020 0.1002 5.9755 1.2155
0.3970 0.4038 0.5770 0.5666 1.4991 1.7899
0.7640 0.7770 0.4010 0.3938 1.4180 0.8289
0.9900 1.0071 0.0180 0.0189 1.9731 0.0225
0.2050 0.2084 0.8950 0.8778 0.2671 0.5621
0.2280 0.2318 0.6840 0.6715 0.2310 0.8878
0.3200 0.3256 0.1920 0.1888 1.6602 0.8872
0.0550 0.0559 0.3330 0.3270 0.0718 0.5181
0.3940 0.4008 0.0250 0.0246 1.3081 0.0853
0.2140 0.2177 0.7880 0.7739 0.8089 2.3569
0.5320 0.5413 0.3930 0.3861 4.8619 3.9917
0.0140 0.0142 0.2740 0.2692 0.1447 3.5277
0.6350 0.6454 0.7280 0.7147 0.5918 0.9566
0.9630 0.9799 0.8600 0.8450 8.9675 8.0771
0.5330 0.5422 0.0400 0.0393 1.6011 0.1079
0.7030 0.7147 0.1320 0.1296 0.8239 0.2805
0.8880 0.9031 0.5690 0.5585 1.7263 0.6401
0.7950 0.8090 0.6050 0.5944 7.5930 5.8001
0.7360 0.7482 0.3640 0.3496 0.7235 0.0160
0.4620 0.4700 0.3060 0.3006 1.9164 1.2191
0.2900 0.2951 0.4720 0.4637 4.7412 6.9351
0.6480 0.6593 0.7860 0.7723 2.6633 3.6635
0.6700 0.6818 0.2410 0.2368 6.7094 2.7701
0.4870 0.4956 0.8810 0.8654 4.3762 4.9389
0.6680 0.6794 0.2300 0.2257 1.5117 0.2192
0.1780 0.1811 0.3570 0.3507 0.6848 0.8736
0.4640 0.4721 0.2230 0.2191 2.7673 0.7176
0.4420 0.4496 0.6940 0.6812 1.3706 0.8106
0.1130 0.1152 0.8080 0.7912 0.1777 0.4040
0.9520 0.9686 0.3470 0.3410 3.3929 1.1736
0.5630 0.5728 0.0570 0.0560 4.2157 0.4019
0.4300 0.4374 0.2660 0.2613 1.5162 0.8571
0.1440 0.1466 0.2070 0.2034 2.3099 3.9742
0.8830 0.8983 0.9560 0.9391 3.9912 5.3221
0.2380 0.2422 0.4830 0.4746 0.4922 2.0924
0.9370 0.9533 0.3710 0.3645 2.9347 1.4747
0.9070 0.9229 0.5840 0.5738 9.7775 7.3415
0.0600 0.0610 0.1760 0.1729 0.2200 0.8529
0.1720 0.1749 0.8160 0.8011 0.2522 1.0208
0.7480 0.7611 0.9830 0.9657 7.2444 7.7421
0.4590 0.4668 0.8680 0.8526 1.4559 3.3939
0.1240 0.1262 0.3900 0.3832 1.6268 4.9397
0.8310 0.8449 0.4460 0.4381 1.4601 1.2542
0.7850 0.7385 0.0650 0.0636 0.0110 0.0136
0.1900 0.1932 0.1390 0.1365 0.4026 0.2549
0.9580 0.9710 0.9750 0.9568 0.2960 0.9009
0.4840 0.4926 0.9860 0.9689 7.2203 20.8904
0.4460 0.4532 0.3030 0.2976 0.3403 0.6581
0.0190 0.0193 0.6780 0.6654 0.0081 0.7017
0.3590 0.3653 0.3250 0.3193 1.0084 1.2327
0.2710 0.2754 0.9500 0.9327 0.2992 1.5932
0.8980 0.8918 0.2250 0.2205 0.0404 0.0979
0.8000 0.8140 0.9570 0.9402 6.7576 5.9870
0.1160 0.1180 0.1430 0.1405 1.1644 1.3657
0.4200 0.4274 0.4260 0.4185 1.6334 1.7803
0.2080 0.2124 0.9360 0.9195 0.2972 1.8683
0.3510 0.3572 0.6860 0.6741 4.9930 11.3094
0.7580 0.7710 0.0650 0.0638 1.4842 0.1252
0.1730 0.1761 0.8000 0.7861 1.7575 11.0520
0.7440 0.7570 0.5170 0.5080 7.4980 6.0603
0.9380 0.9545 0.5960 0.5856 8.0752 4.5952
0.2730 0.2780 0.1490 0.1466 0.9934 0.5112
0.9340 0.9504 0.5350 0.5256 8.2500 5.4131
0.1700 0.1730 0.9680 0.9508 0.6885 3.3144
0.3670 0.3734 0.5380 0.5285 1.6486 2.4560
0.1830 0.1861 0.9070 0.8905 0.3907 1.5863
0.6030 0.6138 0.6610 0.6497 8.1453 6.6880
0.8650 0.8802 0.5770 0.5669 6.0524 4.1296
0.3990 0.4059 0.4930 0.4844 1.2620 2.6006
0.6580 0.6696 0.1330 0.1307 2.3727 0.5401
0.3400 0.3460 0.7240 0.7113 1.4277 3.2529
0.0630 0.0641 0.1610 0.1582 0.6156 1.1189
0.9950 1.0123 0.2840 0.2790 4.0298 0.9045
0.7180 0.7301 0.2900 0.2847 1.1718 0.4860
0.6040 0.6143 0.8750 0.8594 1.2956 3.0205
0.6250 0.6358 0.0220 0.0216 2.0738 0.1068
0.0020 0.0020 0.3940 0.3870 0.0064 1.2864
0.4860 0.4943 0.2320 0.2279 0.7650 0.4775
0.9160 0.9318 0.9680 0.9512 2.7068 5.0230
0.2430 0.2473 0.8630 0.8474 1.3112 1.9443
0.4770 0.4857 0.6660 0.6547 4.5449 6.7499
0.4890 0.4975 0.4230 0.4154 0.8357 0.7326
0.2190 0.2229 0.8250 0.8104 1.2323 2.4049
0.0190 0.0193 0.9640 0.9452 0.0159 0.5022
0.9620 0.9771 0.0440 0.0431 0.7706 0.0175
0.4140 0.4213 0.5710 0.5608 1.2196 1.3744
0.7610 0.7729 0.1160 0.1136 0.6096 0.0462
0.9080 0.9222 0.4530 0.4438 0.7273 0.1803
0.0170 0.0173 0.7010 0.6876 0.0411 0.6281
0.8770 0.8920 0.6240 0.6129 2.7889 2.0336
0.2070 0.2106 0.4670 0.4588 0.8294 1.6723
0.0130 0.0132 0.5380 0.5284 0.0466 1.6517
0.4240 0.4313 0.8530 0.8378 1.5260 2.6503
0.7260 0.7384 0.6020 0.5912 2.3159 1.7253
0.9720 0.9880 0.9590 0.9416 1.3812 1.7866
0.7050 0.7170 0.1750 0.1719 1.5968 0.3815
0.6910 0.7020 0.1460 0.1433 0.5286 0.1279
0.2050 0.2086 0.2220 0.2181 1.1496 1.0587
0.0060 0.0061 0.8040 0.7896 0.0069 2.0558
0.0100 0.0102 0.3060 0.3003 0.0109 0.2717
0.4430 0.4508 0.4580 0.4499 2.2332 1.7088
0.5400 0.5494 0.8100 0.7957 2.7513 4.4518
0.3160 0.3216 0.6480 0.6368 1.1335 2.9270
0.5520 0.5611 0.4360 0.4281 0.4659 0.4007
0.3850 0.3917 0.6560 0.6446 0.9794 2.0598
0.6730 0.6834 0.9580 0.9401 0.3520 0.8612
0.6470 0.6582 0.7340 0.7210 2.7582 2.9022
0.6100 0.6203 0.4540 0.4457 0.6887 0.5779
0.1630 0.1658 0.3850 0.3781 0.3138 0.7792
0.8640 0.8791 0.6100 0.5993 4.3641 3.5130
0.5850 0.5952 0.2040 0.2004 2.8975 0.9098
0.0990 0.1007 0.0830 0.0815 0.3847 0.3732
0.0130 0.0132 0.8490 0.8329 0.0057 0.5739
0.9170 0.9327 0.2580 0.2534 1.9028 0.6574
0.5340 0.5432 0.7350 0.7219 1.5716 2.2579
0.5400 0.5494 0.9690 0.9518 2.7794 3.9506
0.9670 0.9839 0.2010 0.1975 4.6735 0.9954
0.2070 0.2106 0.8350 0.8203 1.2389 4.8205
0.8210 0.8352 0.3710 0.3645 3.6083 2.0973
0.5380 0.5472 0.2780 0.2730 0.6408 0.4698
0.6660 0.6769 0.2020 0.1983 0.6467 0.2767
0.5200 0.5287 0.2500 0.2454 0.6698 0.3052
0.1970 0.2004 0.6990 0.6868 1.3493 6.2225
0.8660 0.8804 0.4050 0.3975 1.0981 0.3637
0.8590 0.8739 0.4250 0.4175 4.3852 2.0128
0.6310 0.6421 0.8090 0.7948 3.0256 4.6485
0.5640 0.5737 0.1480 0.1454 2.6384 0.6283
0.7490 0.7620 0.3020 0.2967 3.7038 1.2017
0.4560 0.4640 0.9340 0.9176 4.3657 9.6323
0.7670 0.7805 0.0330 0.0324 3.9991 0.1490
0.6040 0.6145 0.0810 0.0796 2.8098 0.4790
0.8540 0.8689 0.1250 0.1228 3.7901 0.7766
0.1580 0.1611 0.1430 0.1407 0.3429 0.1900
0.3980 0.4045 0.4450 0.4369 0.2985 0.5678
0.6260 0.6368 0.5680 0.5579 2.0301 1.5609
0.5930 0.6028 0.0820 0.0804 0.5313 0.0509
0.0420 0.0427 0.6390 0.6277 0.1736 3.0576
0.6760 0.6877 0.0350 0.0344 1.5298 0.0785
0.9670 0.9594 0.2420 0.2371 0.0425 0.0777
0.3480 0.3541 0.0310 0.0306 1.7821 0.1548
0.8020 0.8157 0.1400 0.1375 1.7476 0.3699
0.6490 0.6600 0.1170 0.1149 0.9592 0.1522
0.7520 0.7648 0.9560 0.9377 1.0573 0.6577
0.6510 0.6624 0.4580 0.4500 2.4360 1.8746
0.1940 0.1973 0.4300 0.4220 0.3238 0.4197
0.0340 0.0346 0.7290 0.7162 0.2206 3.6260
0.0340 0.0346 0.2490 0.2444 0.0593 0.2936
0.1050 0.1067 0.8980 0.8806 0.0777 0.4840
0.5320 0.5411 0.9610 0.9439 0.9842 2.2372
0.6230 0.6332 0.3420 0.3351 0.7040 0.1902
0.7020 0.7137 0.4890 0.4800 0.9112 0.6963
0.6210 0.6313 0.9480 0.9306 0.7055 0.9726
0.9060 0.9212 0.0650 0.0638 1.1751 0.0540
0.6860 0.6935 0.5780 0.5666 0.1125 0.2497
0.7160 0.7280 0.8730 0.8571 0.8971 1.0511
0.9710 0.9881 0.9570 0.9403 10.4761 10.6208
0.1520 0.1546 0.8050 0.7906 0.4695 2.1526
0.4050 0.4120 0.0800 0.0786 0.9432 0.1783
0.3550 0.3596 0.7970 0.7795 0.0834 0.1833
0.3510 0.3571 0.4570 0.4489 1.7160 2.3083
0.5610 0.5707 0.1010 0.0992 3.1180 0.6280
0.4350 0.4426 0.9460 0.9292 1.3655 3.4624
0.7560 0.7693 0.2430 0.2388 4.4937 1.4354
0.0150 0.0153 0.0920 0.0904 0.0790 0.5192
0.4630 0.4709 0.1490 0.1464 0.9880 0.3767
0.6730 0.6848 0.1840 0.1808 2.8253 0.8000
0.6180 0.6289 0.6120 0.6013 6.4630 5.2791
0.7050 0.7174 0.9900 0.9727 4.7263 4.3441
0.6990 0.7110 0.3020 0.2966 2.3081 0.8272
0.0230 0.0235 0.4410 0.4333 0.0921 1.4571
0.5240 0.5331 0.0040 0.0039 1.5269 0.0079
0.4760 0.4842 0.9150 0.8983 1.0315 1.1593
0.8670 0.8820 0.0440 0.0432 3.1724 0.1237
0.0450 0.0458 0.1820 0.1788 0.1735 0.7042
0.8910 0.9067 0.7520 0.7388 4.7196 3.5517
0.1660 0.1689 0.9720 0.9549 0.8756 3.7257
0.7860 0.7992 0.2770 0.2717 1.4800 0.2238
0.9880 1.0052 0.6530 0.6415 5.8440 4.4606
0.4880 0.4969 0.2220 0.2182 1.7451 0.6713
0.1630 0.1658 0.6660 0.6542 1.4352 4.6727
0.1490 0.1516 0.6230 0.6119 0.3467 1.7475
0.1050 0.1068 0.4870 0.4780 0.1450 0.5323
0.6180 0.6292 0.8570 0.8417 1.4640 1.2744
0.6070 0.6174 0.9740 0.9566 2.1014 3.3408
0.8770 0.8917 0.9420 0.9242 1.4207 0.7903
0.6740 0.6849 0.7210 0.7073 0.5837 0.5992
0.0640 0.0651 0.1550 0.1522 0.1570 0.2804
0.6410 0.6521 0.2440 0.2397 1.8897 0.8203
0.9730 0.9895 0.9650 0.9476 1.9168 2.2349
0.4100 0.4171 0.4530 0.4449 1.0430 1.4944
0.7270 0.7310 0.8070 0.7920 0.0647 0.7771
0.6930 0.7049 0.2680 0.2632 1.5752 0.6646
0.2460 0.2503 0.4770 0.4687 2.3441 5.4297
0.8990 0.9148 0.2610 0.2564 10.3151 2.5985
0.3470 0.3531 0.2490 0.2447 4.5773 4.0091
0.6260 0.6353 0.7210 0.7079 0.2416 1.0397
0.5150 0.5238 0.3450 0.3388 1.1237 0.6414
0.5040 0.5128 0.2140 0.2102 3.4060 1.7402
0.3110 0.3165 0.9120 0.8961 2.8096 10.9568
0.2790 0.2840 0.8310 0.8165 1.2254 3.1229
0.5550 0.5639 0.7420 0.7273 0.4817 0.4177
0.6570 0.6675 0.4690 0.4597 0.5703 0.2640
0.2760 0.2806 0.1920 0.1886 0.3977 0.3675
0.1170 0.1190 0.2840 0.2785 0.1496 0.1593
0.5450 0.5545 0.9000 0.8841 1.9702 2.3184
0.6100 0.6206 0.3530 0.3468 2.1984 1.0872
0.8020 0.8153 0.9280 0.9103 0.9440 0.6069
0.9620 0.9783 0.2830 0.2775 1.6643 0.1556
0.0520 0.0528 0.5410 0.5286 0.0422 0.1006
0.4600 0.4680 0.1950 0.1915 1.7149 0.5002
0.5530 0.5625 0.3010 0.2957 1.6878 0.7543
0.7810 0.7947 0.8250 0.8106 4.6610 4.8023
0.6730 0.6847 0.0640 0.0629 3.1443 0.2669
0.3520 0.3581 0.1930 0.1896 1.4147 1.0424
0.4660 0.4741 0.0830 0.0815 1.9246 0.4130
0.0420 0.0427 0.0900 0.0884 0.1334 0.1130
0.7880 0.8018 0.2040 0.2005 4.7698 0.9547
0.4070 0.4140 0.5320 0.5225 0.7900 1.0757
0.9350 0.9511 0.8160 0.8015 2.9967 3.3742
0.7000 0.7114 0.6820 0.6686 0.6384 0.3580
0.1970 0.2004 0.9000 0.8839 0.5049 2.4192
0.4530 0.4607 0.2540 0.2493 0.7606 0.3172
0.2040 0.2075 0.0590 0.0580 0.3558 0.1377
0.2090 0.2126 0.6070 0.5960 0.6228 1.2978
0.8700 0.8853 0.1340 0.1317 12.0365 1.2776
0.3430 0.3491 0.5360 0.5267 2.6871 4.3898
0.7950 0.8064 0.5870 0.5712 0.4253 0.0998
0.2470 0.2505 0.1970 0.1917 0.1321 0.0335
0.0400 0.0406 0.3500 0.3434 0.0244 0.2128
0.7860 0.7998 0.5130 0.5040 3.9614 2.2752
0.2430 0.2470 0.9830 0.9628 0.2430 0.3421
0.3490 0.3547 0.3780 0.3695 0.2768 0.0771
0.9820 0.9948 0.3040 0.2990 0.3565 0.5618
0.6190 0.6299 0.8390 0.8243 3.1848 6.5408
0.1600 0.1627 0.8150 0.8006 0.2589 1.8794
0.2860 0.2909 0.4320 0.4243 0.6778 1.1521
0.8840 0.8985 0.7670 0.7530 0.8336 0.8100
0.6130 0.6237 0.7300 0.7172 3.6792 3.9186
0.9590 0.9755 0.9620 0.9450 2.9758 3.2400
0.2250 0.2293 0.4970 0.4889 0.5434 1.1655
0.6530 0.6642 0.4110 0.4037 1.7004 1.2166
0.9320 0.9478 0.6350 0.6237 1.5033 1.4916
0.7930 0.8065 0.6130 0.6020 1.7763 1.3737
0.3240 0.3297 0.6310 0.6199 3.7863 7.7499
0.5450 0.5542 0.8620 0.8441 0.6306 0.2974
0.0860 0.0874 0.7660 0.7517 0.1054 0.6955
0.6260 0.6366 0.5890 0.5784 1.0504 0.9448
0.2150 0.2185 0.4450 0.4361 0.2034 0.1776
0.0700 0.0712 0.8970 0.8812 0.5751 6.7831
0.7930 0.8065 0.8900 0.8735 1.2934 0.8882
0.6800 0.6885 0.2250 0.2203 0.1496 0.0619
0.0420 0.0427 0.7150 0.7024 0.2273 3.6279
0.3850 0.3917 0.5360 0.5267 2.2399 3.9937
0.9140 0.9290 0.8720 0.8553 0.8811 0.5502
0.9150 0.9311 0.5470 0.5374 7.4454 2.8253
0.2290 0.2329 0.7900 0.7759 0.4981 1.8549
0.6060 0.6166 0.2440 0.2397 5.5485 2.1133
0.6390 0.6493 0.2040 0.2002 0.4364 0.1793
0.8680 0.8828 0.5610 0.5509 1.8480 1.2819
0.9080 0.9220 0.5470 0.5368 0.4658 0.5071
0.9470 0.9633 0.9150 0.8986 2.6279 2.0551
0.2900 0.2951 0.2590 0.2545 1.2194 0.9974
0.5800 0.5897 0.0750 0.0736 0.7151 0.0517
0.8020 0.8161 0.2600 0.2554 3.2866 0.7652
0.2140 0.2177 0.9430 0.9258 0.4468 1.2250
0.1250 0.1271 0.4480 0.4397 0.1994 0.4726
0.4550 0.4628 0.6630 0.6511 0.8235 1.2962
0.9910 1.0069 0.8640 0.8482 0.7740 1.0273
0.6890 0.7002 0.9350 0.9045 0.5650 0.0626
0.9270 0.9425 0.1940 0.1903 1.3275 0.1329
0.4270 0.4348 0.9060 0.8900 1.2938 2.1282
0.8280 0.8403 0.6770 0.6635 0.3502 0.3046
0.0760 0.0771 0.4750 0.4656 0.0321 0.2137
0.9990 0.9908 0.7670 0.7498 0.0569 0.1848
0.0080 0.0081 0.4080 0.4007 0.0333 1.0118
0.0830 0.0845 0.7250 0.7116 0.0929 0.6931
0.8290 0.8435 0.0250 0.0246 3.4337 0.0993
0.1220 0.1241 0.3940 0.3871 0.7064 2.1788
0.2750 0.2798 0.8600 0.8448 0.9188 2.6067
0.6450 0.6563 0.4810 0.4724 1.8537 1.0077
0.5890 0.5990 0.5450 0.5353 0.7374 1.2121
0.0890 0.0903 0.4970 0.4879 0.0347 0.6888
0.1350 0.1370 0.7410 0.7276 0.0513 1.1315
0.3510 0.3567 0.4310 0.4229 0.3001 0.4775
0.6700 0.6817 0.3610 0.3547 3.9295 2.1331
0.5440 0.5535 0.4430 0.4350 2.2560 0.7837
0.4590 0.4669 0.8810 0.8647 0.9419 1.1136
0.8100 0.8242 0.0580 0.0570 3.4150 0.2134
0.5570 0.5663 0.2590 0.2542 0.6846 0.2269
0.9300 0.9461 0.6990 0.6865 3.3796 1.5714
0.6750 0.6867 0.1150 0.1130 2.6170 0.5267
0.2790 0.2836 0.8040 0.7894 0.2698 1.1698
0.7950 0.8090 0.1070 0.1052 4.5148 0.5533
0.6480 0.6593 0.1890 0.1856 1.7632 0.2720
0.3820 0.3883 0.7170 0.7023 0.4236 0.2574
0.9390 0.9547 0.4360 0.4282 1.3118 0.8790
0.4860 0.4943 0.6020 0.5912 0.5745 0.7182
0.5060 0.5145 0.7940 0.7791 0.7975 0.8805
0.3190 0.3241 0.1890 0.1851 0.2322 0.0592
0.3200 0.3254 0.7060 0.6932 0.6061 1.3781
0.8320 0.8454 0.2980 0.2925 0.6839 0.2804
0.7870 0.8008 0.8510 0.8360 5.3555 4.6252
0.7430 0.7562 0.9800 0.9628 4.0486 3.6662
0.9470 0.9631 0.5210 0.5112 1.6118 0.3991
0.8430 0.8582 0.9860 0.9689 5.2325 6.1231
0.1010 0.1028 0.9250 0.9087 0.2159 2.2968
0.6270 0.6379 0.5980 0.5872 2.1111 1.4358
0.3850 0.3914 0.8220 0.8067 0.4050 0.7735
0.4110 0.4182 0.6220 0.6109 1.9995 1.9562
0.5570 0.5663 0.1050 0.1030 0.6979 0.0675
0.3830 0.3894 0.9920 0.9729 0.6162 0.8283
0.2970 0.3005 0.9790 0.9608 0.0526 0.8742
0.2540 0.2583 0.2760 0.2711 0.3863 0.7507
0.2740 0.2784 0.1610 0.1543 0.1543 0.0064
0.5700 0.5799 0.6480 0.6365 1.9346 1.7885
0.6870 0.6990 0.6780 0.6661 2.6532 3.2510
0.1530 0.1557 0.2360 0.2319 0.7263 1.5014
0.2940 0.2992 0.4810 0.4726 1.2962 3.0135
0.2110 0.2147 0.3140 0.3072 0.3351 0.0788
0.0490 0.0498 0.3020 0.2965 0.0823 0.6209
0.3080 0.3128 0.9710 0.9524 0.1454 0.6117
0.6740 0.6858 0.7060 0.6938 2.2909 3.0993
0.3430 0.3489 0.6860 0.6733 0.6839 0.7059
0.8480 0.8629 0.9010 0.8849 3.0757 1.9471
0.5290 0.5373 0.0890 0.0870 0.3513 0.0204
0.3170 0.3220 0.7900 0.7719 0.2105 0.1809
0.3860 0.3921 0.6470 0.6321 0.2563 0.1482
0.8780 0.8933 0.3800 0.3733 4.5243 1.9156
0.2490 0.2533 0.2370 0.2328 0.8825 1.1544
0.3220 0.3277 0.8900 0.8742 0.8704 2.6477
0.0430 0.0437 0.2090 0.2051 0.0251 0.1310
0.2360 0.2396 0.6630 0.6485 0.1050 0.1518
0.5830 0.5929 0.8490 0.8337 1.1217 1.7837
0.3350 0.3406 0.9390 0.9211 0.4499 0.7230
0.0390 0.0397 0.4140 0.4061 0.0708 0.2699
0.0170 0.0173 0.8260 0.8000 0.0159 0.0653
0.2050 0.2086 0.3190 0.3134 1.0455 1.7089
0.6360 0.6472 0.2280 0.2239 2.4632 0.6667
0.1130 0.1150 0.4210 0.4138 0.5670 2.1757
0.0920 0.0936 0.9800 0.9624 0.1814 1.8542
0.8990 0.9148 0.3290 0.3233 4.8330 1.6348
0.0180 0.0182 0.1530 0.1498 0.0034 0.0459
0.6010 0.6113 0.3550 0.3488 1.1317 0.8339
0.6130 0.6235 0.0160 0.0157 1.0703 0.0386
0.3940 0.3986 0.5100 0.4993 0.0749 0.1530
0.9960 1.0124 0.4660 0.4571 1.1295 0.3085
0.9240 0.9396 0.1920 0.1885 1.3176 0.2302
0.6410 0.6519 0.7420 0.7285 1.1384 1.1931
0.9650 0.9815 0.5810 0.5693 1.6029 0.2283
0.2010 0.2047 0.8120 0.7973 0.8070 1.3195
0.8790 0.8939 0.7770 0.7626 2.0718 1.0054
0.0090 0.0092 0.4540 0.4454 0.0118 0.2797
0.1060 0.1079 0.6520 0.6407 0.8564 3.5964
0.2790 0.2839 0.9720 0.9550 2.0400 7.2560
0.6740 0.6858 0.7270 0.7142 4.9970 5.2468
0.9300 0.9462 0.5950 0.5845 6.6523 3.8253
0.7040 0.7163 0.5190 0.5099 5.3659 3.7301
0.8750 0.8901 0.3930 0.3861 2.6163 1.5009
0.4430 0.4508 0.0110 0.0109 2.6939 0.0653
0.8770 0.8922 0.0930 0.0914 4.5244 0.4853
0.4320 0.4395 0.5400 0.5305 2.7436 3.1282
0.0270 0.0274 0.3610 0.3546 0.0284 0.8144
0.5580 0.5677 0.6140 0.6033 1.6271 3.3494
0.9650 0.9817 0.5700 0.5600 3.9922 3.3647
0.1620 0.1648 0.7560 0.7429 0.8683 5.2754
0.5250 0.5332 0.2610 0.2551 0.2882 0.0538
0.6910 0.7029 0.4750 0.4671 1.2576 0.9153
0.8760 0.8910 0.5610 0.5510 1.8729 0.9610
0.7350 0.7477 0.9610 0.9443 1.3598 2.4121
0.6230 0.5707 0.5050 0.4948 0.0069 0.1874
0.2970 0.3022 0.2700 0.2653 1.2406 1.3465
0.5970 0.6073 0.6460 0.6345 1.0567 1.3766
0.5360 0.5454 0.1730 0.1700 2.6334 0.6181
0.3620 0.3682 0.3950 0.3878 0.7682 0.6340
0.3210 0.3262 0.5490 0.5372 0.2459 0.1427
0.9760 0.9928 0.3420 0.3362 3.5741 2.1211
0.9460 0.9625 0.6910 0.6788 6.3751 3.6658
0.2110 0.2138 0.8240 0.8036 0.0515 0.1178
0.9230 0.9385 0.4840 0.4755 1.9577 1.3015
0.9280 0.9424 0.4580 0.4497 0.5438 0.5125
0.9010 0.9167 0.7170 0.7046 3.8283 2.7475
0.8420 0.8556 0.6700 0.6573 0.6829 0.4543
0.3330 0.3385 0.2000 0.1964 0.3996 0.3002
0.6890 0.7003 0.7870 0.7721 0.6173 0.5918
0.2720 0.2765 0.2850 0.2797 0.2388 0.2408
0.3780 0.3831 0.8500 0.8323 0.0987 0.2797
0.6520 0.6613 0.8560 0.7756 0.2543 0.0146
0.0650 0.0666 0.6140 0.6033 0.1830 0.8829
0.5260 0.5351 0.0770 0.0756 1.4965 0.2923
0.7100 0.7221 0.5770 0.5669 1.1140 0.7841
0.1740 0.1770 0.4040 0.3967 0.3038 0.7385
0.4450 0.4527 0.0140 0.0138 1.3613 0.0395
0.0100 0.0102 0.3000 0.2947 0.0354 0.6453
0.0420 0.0427 0.2900 0.2847 0.0648 0.4530
0.2590 0.2635 0.4420 0.4344 0.3038 0.8668
0.7800 0.7931 0.7900 0.7756 1.0998 0.9733
0.0440 0.0447 0.4200 0.4124 0.0655 0.6313
0.5170 0.5259 0.1300 0.1277 1.3995 0.2192
