Inf_UN Sus_UN F_GT G_GT
0.6295 0.6010 6.4764 5.2816
0.7192 0.9713 4.7394 4.3427
0.7094 0.2949 2.3088 0.8256
0.0240 0.4336 0.0946 1.4678
0.5312 0.0052 1.5242 0.0105
0.4838 0.8986 1.0298 1.1608
0.8875 0.0451 3.1940 0.1295
0.0474 0.1792 0.1801 0.7066
0.9069 0.7444 4.7274 3.5791
0.1688 0.9544 0.8752 3.7255
0.7962 0.2673 1.4758 0.2216
1.0067 0.6408 5.8593 4.4614
0.5004 0.2182 1.7535 0.6719
0.1673 0.6553 1.4481 4.6901
0.1530 0.6104 0.3508 1.7474
0.1061 0.4807 0.1441 0.5360
0.6282 0.8456 1.4647 1.2741
0.6169 0.9524 2.1027 3.3355
0.8909 0.9268 1.4216 0.7928
0.6847 0.7085 0.5842 0.5999
0.0639 0.1523 0.1538 0.2818
0.6533 0.2393 1.8952 0.8207
0.9907 0.9460 1.9189 2.2318
0.4157 0.4447 1.0408 1.4961
0.7145 0.7931 0.0641 0.7783
0.7012 0.2641 1.5704 0.6684
0.2512 0.4702 2.3558 5.4477
0.9144 0.2585 10.3282 2.6212
0.3532 0.2446 4.5850 4.0100
0.6409 0.7042 0.2450 1.0360
0.5254 0.3358 1.1282 0.6373
0.5130 0.2112 3.4126 1.7483
0.3164 0.8951 2.8113 10.9534
0.2838 0.8146 1.2231 3.1185
0.5697 0.7191 0.4889 0.4168
0.6615 0.4567 0.5677 0.2647
0.2798 0.1889 0.3973 0.3690
0.1205 0.2786 0.1516 0.1599
0.5541 0.8831 1.9701 2.3149
0.6223 0.3461 2.2078 1.0860
0.8202 0.9059 0.9504 0.6046
0.9733 0.2800 1.6573 0.1574
0.0541 0.5377 0.0433 0.1027
0.4691 0.1941 1.7207 0.5075
0.5643 0.2976 1.6964 0.7605
0.7952 0.8102 4.6685 4.7971
0.6862 0.0632 3.1567 0.2681
0.3604 0.1913 1.4289 1.0515
0.4701 0.0823 1.9117 0.4171
0.0435 0.0907 0.1360 0.1162
0.8003 0.2012 4.7695 0.9610
0.4141 0.5212 0.7912 1.0730
0.9501 0.7998 2.9993 3.3710
0.7051 0.6684 0.6336 0.3587
0.2018 0.8814 0.5091 2.4207
0.4586 0.2516 0.7582 0.3202
0.2049 0.0577 0.3515 0.1376
0.2138 0.5987 0.6272 1.3049
0.8849 0.1324 12.0387 1.2860
0.3495 0.5247 2.6928 4.3966
0.7786 0.5314 0.4154 0.0969
0.2384 0.1858 0.1272 0.0339
0.0420 0.3431 0.0251 0.2130
0.7988 0.5053 3.9635 2.2783
0.2526 0.9612 0.2485 0.3431
0.3607 0.3665 0.2815 0.0769
0.9747 0.2871 0.3568 0.5284
0.6306 0.8245 3.1921 6.5542
0.1631 0.7983 0.2597 1.8752
0.2949 0.4243 0.6875 1.1541
0.9039 0.7501 0.8381 0.8056
0.6227 0.7183 3.6795 3.9260
0.9726 0.9467 2.9762 3.2448
0.2335 0.4900 0.5466 1.1681
0.6608 0.4053 1.6980 1.2222
0.9471 0.6209 1.5014 1.4851
0.8075 0.6007 1.7771 1.3723
0.3310 0.6208 3.8053 7.7694
0.5522 0.8366 0.6282 0.2959
0.0860 0.7481 0.1038 0.6929
0.6376 0.5778 1.0533 0.9446
0.2218 0.4361 0.2065 0.1780
0.0720 0.8825 0.5818 6.7996
0.8082 0.8739 1.2996 0.8921
0.6956 0.2153 0.1521 0.0606
0.0430 0.7002 0.2288 3.6186
0.3903 0.5288 2.2351 4.0033
0.9248 0.8561 0.8787 0.5502
0.9305 0.5389 7.4499 2.8371
0.2326 0.7761 0.4981 1.8570
0.6176 0.2398 5.5618 2.1153
0.6530 0.2008 0.4386 0.1799
0.8797 0.5525 1.8426 1.2868
0.9203 0.5339 0.4670 0.5046
0.9611 0.8957 2.6265 2.0568
0.2951 0.2554 1.2205 1.0032
0.5984 0.0744 0.7268 0.0525
0.8173 0.2566 3.2900 0.7691
0.2184 0.9279 0.4491 1.2289
0.1295 0.4424 0.2034 0.4761
0.4619 0.6501 0.8243 1.2955
1.0030 0.8476 0.7741 1.0245
0.7254 0.8764 0.5868 0.0615
0.9406 0.1899 1.3266 0.1330
0.4322 0.8920 1.2886 2.1327
0.8195 0.6601 0.3427 0.3030
0.0808 0.4669 0.0338 0.2143
1.1243 0.7047 0.0651 0.1774
0.0089 0.4001 0.0364 1.0121
0.0874 0.7080 0.0960 0.6910
0.8557 0.0251 3.4904 0.1019
0.1249 0.3878 0.7111 2.1886
0.2779 0.8454 0.9132 2.6102
0.6527 0.4725 1.8525 1.0109
0.6035 0.5308 0.7449 1.2011
0.0890 0.4883 0.0344 0.6901
0.1365 0.7282 0.0515 1.1312
0.3601 0.4250 0.3039 0.4805
0.6829 0.3535 3.9380 2.1277
0.5555 0.4335 2.2647 0.7830
0.4631 0.8547 0.9400 1.1038
0.8219 0.0596 3.4110 0.2225
0.5716 0.2552 0.6901 0.2280
0.9475 0.6838 3.3857 1.5697
0.6848 0.1130 2.6145 0.5285
0.2835 0.7921 0.2695 1.1740
0.8104 0.1069 4.5247 0.5665
0.6575 0.1867 1.7595 0.2744
0.3851 0.6931 0.4208 0.2558
0.9567 0.4329 1.3189 0.8900
0.4904 0.5917 0.5711 0.7208
0.5176 0.7796 0.8036 0.8844
0.3246 0.1822 0.2328 0.0585
0.3247 0.6926 0.6057 1.3796
0.8450 0.2943 0.6821 0.2827
0.8020 0.8362 5.3634 4.6330
0.7543 0.9627 4.0401 3.6704
0.9621 0.5131 1.6113 0.4020
0.8586 0.9675 5.2405 6.1295
0.1043 0.9023 0.2179 2.3014
0.6404 0.5860 2.1158 1.4358
0.3890 0.8090 0.4028 0.7758
0.4191 0.6076 2.0063 1.9538
0.5649 0.1030 0.6976 0.0676
0.3868 0.9676 0.6140 0.8268
0.3184 0.9608 0.0561 0.8733
0.2551 0.2725 0.3830 0.7547
0.2007 0.1538 0.1109 0.0066
0.5802 0.6369 1.9329 1.7945
0.6995 0.6613 2.6600 3.2286
0.1567 0.2334 0.7319 1.5177
0.3017 0.4712 1.3077 3.0108
0.2151 0.3060 0.3355 0.0798
0.0512 0.2980 0.0847 0.6253
0.3116 0.9507 0.1450 0.6116
0.6848 0.6914 2.2961 3.0956
0.3498 0.6653 0.6869 0.7017
0.8639 0.8772 3.0815 1.9407
0.5325 0.0870 0.3484 0.0205
0.3285 0.7628 0.2150 0.1800
0.3951 0.6247 0.2585 0.1474
0.8939 0.3740 4.5292 1.9236
0.2532 0.2332 0.8835 1.1547
0.3270 0.8749 0.8688 2.6541
0.0436 0.2108 0.0251 0.1339
0.2241 0.6478 0.0981 0.1527
0.5918 0.8339 1.1204 1.7847
0.3367 0.9071 0.4450 0.7231
0.0388 0.4070 0.0693 0.2712
0.0215 0.7922 0.0197 0.0656
0.2088 0.3124 1.0454 1.7085
0.6526 0.2247 2.4746 0.6715
0.1153 0.4136 0.5684 2.1885
0.0937 0.9599 0.1811 1.8523
0.9155 0.3244 4.8419 1.6410
0.0302 0.1461 0.0057 0.0448
0.6111 0.3492 1.1344 0.8354
0.6246 0.0168 1.0698 0.0414
0.3753 0.4997 0.0706 0.1532
1.0188 0.4523 1.1346 0.3062
0.9340 0.1921 1.3154 0.2349
0.6507 0.7303 1.1355 1.1989
0.9991 0.5592 1.6254 0.2269
0.2052 0.7985 0.8089 1.3182
0.8930 0.7615 2.0664 1.0051
0.0101 0.4416 0.0131 0.2780
0.1080 0.6418 0.8580 3.6267
0.2843 0.9559 2.0449 7.2669
0.6868 0.7135 5.0087 5.2442
0.9459 0.5835 6.6560 3.8219
0.7171 0.5114 5.3747 3.7432
0.8870 0.3834 2.6114 1.4916
0.4414 0.0117 2.6483 0.0646
0.8950 0.0924 4.5427 0.4910
0.4408 0.5319 2.7558 3.1363
0.0303 0.3571 0.0315 0.8207
0.5703 0.6056 1.6347 3.3594
0.9797 0.5587 3.9950 3.3611
0.1655 0.7415 0.8721 5.2668
0.5394 0.2625 0.2910 0.0549
0.7025 0.4688 1.2538 0.9211
0.8919 0.5480 1.8745 0.9589
0.7526 0.9430 1.3689 2.4034
0.2948 0.4846 0.0039 0.1839
0.3016 0.2662 1.2427 1.3486
0.6096 0.6305 1.0618 1.3743
0.5445 0.1696 2.6284 0.6170
0.3700 0.3910 0.7720 0.6406
0.3210 0.5426 0.2421 0.1446
0.9939 0.3369 3.5820 2.1262
0.9635 0.6785 6.3840 3.6694
0.2082 0.8071 0.0504 0.1199
0.9341 0.4761 1.9557 1.3050
0.9414 0.4470 0.5453 0.5111
0.9131 0.7108 3.8240 2.7620
0.8532 0.6569 0.6807 0.4541
0.3318 0.1932 0.3919 0.2956
0.6980 0.7715 0.6155 0.5936
0.2779 0.2807 0.2400 0.2423
0.3806 0.8196 0.0982 0.2763
0.6336 0.6690 0.2456 0.0134
0.0666 0.6069 0.1793 0.8879
0.5335 0.0768 1.4939 0.2971
0.7245 0.5701 1.1155 0.7874
0.1768 0.3960 0.3035 0.7374
0.4536 0.0147 1.3594 0.0422
0.0103 0.2950 0.0358 0.6458
0.0446 0.2837 0.0677 0.4517
0.2620 0.4364 0.3023 0.8685
0.7973 0.7724 1.1065 0.9713
0.0452 0.4140 0.0664 0.6350
0.5306 0.1307 1.4123 0.2246
1.0072 0.6636 2.5961 1.5965
0.2301 0.7212 0.3518 0.9989
0.9347 0.9151 2.5451 1.6670
0.7231 0.5510 1.2870 0.4584
0.8191 0.4352 0.3745 0.2640
0.3736 0.3228 0.7802 0.7403
0.3737 0.0709 0.8362 0.1756
0.9444 0.3888 2.0258 0.6385
0.3960 0.7531 0.8558 1.3961
0.3984 0.6566 0.1432 0.4144
0.8168 0.6068 1.9756 1.7353
0.5478 0.2548 0.9186 0.4063
0.1927 0.1741 0.4446 0.3408
0.2773 0.8151 0.4519 1.1352
0.8674 0.9369 1.7910 1.3035
0.7922 0.6141 3.5627 2.7303
0.3888 0.0887 0.9918 0.1665
0.6257 0.4613 0.1409 0.1015
0.8873 0.3823 0.7537 0.1114
0.8103 0.6405 0.6884 0.1867
0.2887 0.8874 0.7502 2.9741
0.7103 0.4757 0.5751 0.5068
0.5553 0.8380 1.0064 1.8380
0.2831 0.6601 1.2652 3.6725
0.3225 0.6384 1.1931 2.0001
0.6896 0.6539 0.4119 0.5408
0.1250 0.1769 0.1092 0.1454
0.2222 0.6370 0.7033 2.6995
0.1937 0.8324 0.9892 2.8207
0.6103 0.6710 0.5328 0.5514
0.6226 0.3095 1.3800 0.5797
0.7984 0.2573 0.8380 0.1224
0.0424 0.6080 0.1113 0.9591
0.1473 0.6165 0.2523 1.6820
0.3433 0.6335 0.2011 0.3904
0.7962 0.0926 1.6185 0.1528
0.2323 0.2918 0.1361 0.1798
0.6860 0.4228 0.7204 0.7873
0.5570 0.2435 0.6566 0.6998
0.7774 0.3125 0.5710 0.3900
0.5776 0.5306 0.0560 0.4916
0.1613 0.3566 0.0156 0.3304
0.7621 0.8416 0.2899 0.5730
0.6753 0.2970 0.2569 0.2022
0.9402 0.9439 1.3527 0.7450
0.1686 0.0692 0.3405 0.1271
0.3842 0.4516 2.1190 2.7592
0.1058 0.2992 0.0020 0.2882
0.7375 0.5762 0.8994 0.8948
0.3085 0.6193 0.6128 1.1318
0.5940 0.1488 1.9548 0.4353
0.2591 0.5492 0.9051 2.3543
0.7704 0.6201 1.2203 0.7806
0.6237 0.2401 2.3033 0.9993
0.2387 0.4399 0.0262 0.3572
0.7238 0.8467 2.0304 0.9170
0.0978 0.6632 0.2087 0.4703
0.2098 0.6799 0.5524 1.6349
0.2886 0.8345 0.7837 1.5285
0.7675 0.5215 1.4341 0.6273
0.7422 0.1659 1.9051 0.2055
0.2884 0.3284 0.1690 0.2432
0.0868 0.5370 0.2883 1.9580
0.8610 0.8504 1.3625 1.1704
0.0608 0.5006 0.0764 0.6964
0.5961 0.1870 3.8125 1.1678
0.6007 0.3704 2.2614 1.0940
0.2319 0.1503 0.0697 0.0279
0.9566 0.1512 1.4798 0.1563
0.7523 0.3247 0.8276 0.3980
0.2726 0.6669 0.2053 0.6292
0.1486 0.4815 0.7140 1.3098
0.2432 0.6084 0.4911 0.8487
0.2494 0.1423 0.8112 0.3235
0.9579 0.5835 2.2126 2.5868
0.0862 0.1841 0.4378 1.5796
0.0000 0.0641 0.0000 0.0046
0.5302 0.1569 1.0812 0.4933
0.2706 0.4291 0.0646 0.2843
0.1741 0.4038 0.6707 1.4457
0.8991 0.8201 1.8068 1.4134
0.7574 0.0932 1.0293 0.1380
0.9346 0.7316 0.8786 0.0850
0.4965 0.3540 1.0156 0.4721
0.5646 0.2648 0.8952 0.1353
0.0600 0.2001 0.0457 0.0033
0.5126 0.3600 0.6924 0.1892
0.3056 0.5012 0.4522 1.0438
0.4908 0.4042 0.4147 0.3419
0.9352 0.5750 1.7035 1.1224
0.3447 0.0083 0.7403 0.0205
0.8444 0.6272 0.6234 0.5719
0.6708 0.6889 0.5704 0.7460
0.2573 0.5064 0.2470 1.4346
0.4776 0.8210 0.8709 1.8422
0.1179 0.8629 0.1489 1.0886
0.5126 0.3820 1.6623 1.2292
0.9636 0.2181 1.2174 0.2752
0.1188 0.3784 0.0817 0.0273
0.4326 0.0564 0.2794 0.0568
0.9506 0.6226 0.8100 0.3905
0.7130 0.0038 1.2664 0.0032
0.9198 0.5426 2.0054 0.9410
0.8476 0.9147 0.5641 0.0579
0.7082 0.5595 0.7812 1.2701
0.1949 0.3270 0.8676 1.4958
0.6790 0.7509 0.6469 1.0934
0.2784 0.0577 0.4837 0.1032
0.5920 0.9294 2.0317 3.5480
0.6733 0.0030 2.2050 0.0089
0.2808 0.1864 0.0318 0.0321
0.3838 0.2566 0.4974 0.5789
1.0048 0.9584 0.1136 0.1649
0.3551 0.5955 1.0970 2.1562
0.9761 0.6248 0.8276 0.2236
0.8545 0.7411 2.5255 1.4353
0.1626 0.5083 0.0413 0.3736
0.5081 0.5283 0.4549 0.7726
0.9079 0.0019 0.5156 0.0020
0.2421 0.8313 0.1855 0.5134
0.4391 0.2057 1.5894 0.5855
0.4793 0.8116 0.4474 1.1588
0.0000 0.2650 0.0000 0.0071
0.4034 0.2966 1.0622 0.7022
0.3389 0.1473 0.5434 0.3649
0.3050 0.7271 0.0314 0.3477
0.6715 0.8254 0.0170 0.8143
0.6102 0.1516 0.1166 0.0499
0.6754 0.0512 0.7047 0.1086
0.6879 0.5143 0.4096 0.4166
0.4389 0.3682 0.7442 0.4151
0.9927 0.7853 1.3422 1.2434
0.3257 0.2539 0.6177 0.4668
0.3107 0.8735 0.5283 0.6032
0.3370 0.4045 0.2661 0.0474
0.5252 0.9120 0.5535 1.7124
0.9690 0.5009 1.9925 1.7233
1.0083 0.3242 5.6250 2.3031
0.3008 0.0593 0.6608 0.1382
0.8965 0.7016 4.3062 5.0155
0.8539 0.4868 2.2717 1.4265
0.6328 0.1562 0.6142 0.0772
0.2089 0.7005 0.1932 0.1501
0.5598 0.6911 1.2802 1.3314
0.1761 0.3644 0.1034 0.3481
0.2241 0.4982 0.0785 0.5376
0.6732 0.7298 0.1002 0.2030
0.8271 0.8318 0.5393 0.5144
0.1562 0.1614 0.6937 0.9964
0.8584 0.5464 0.9577 0.5971
0.0307 0.0039 0.0395 0.0062
0.3174 0.9176 0.2084 0.4458
0.8809 0.8295 0.5783 0.4030
0.8973 0.0167 0.5891 0.0081
0.5759 0.0733 0.5403 0.1362
0.1788 0.7054 0.1009 0.2973
0.4964 0.7066 0.5966 0.6960
0.1042 0.2980 0.1889 0.6130
0.9540 0.3760 0.8255 0.3391
0.3277 0.7168 0.1718 1.0958
0.6797 0.6969 0.4730 1.1116
0.3914 0.6629 0.0557 0.1078
0.7159 0.4463 0.0237 0.1595
0.4072 0.0988 0.3843 0.0536
0.1714 0.2268 0.0411 0.1747
0.0551 0.6538 0.0642 1.0825
1.0241 0.5476 0.8738 0.0467
0.3852 0.8592 0.3956 1.1881
0.0736 0.5799 0.3419 2.8178
0.6065 0.7597 0.5139 0.4784
0.7827 0.1378 1.0212 0.0615
0.3464 0.1384 0.1823 0.0486
0.5493 0.6920 0.4538 0.4375
0.4623 0.5492 0.3475 0.4974
1.0089 0.6501 0.4958 0.1526
0.4429 0.4787 1.5574 2.8755
0.5903 0.9468 0.5276 0.4105
0.3496 0.0462 0.0378 0.0375
0.8293 0.8821 0.7998 0.6668
0.0310 0.9331 0.0300 0.8028
0.6696 0.6662 0.6491 0.5732
0.1352 0.0818 0.1310 0.0704
0.5588 0.9657 1.6350 3.1418
0.2395 0.0541 0.3073 0.0667
0.9773 0.2732 0.4055 0.0318
0.4034 0.2299 0.1414 0.1409
0.9364 0.1853 0.6025 0.0202
0.2624 0.5470 0.0033 0.2422
0.8454 0.3361 0.3975 0.2366
0.6476 0.8618 0.3940 0.0583
0.2561 0.4996 0.1704 0.5041
0.1030 0.4602 0.0744 0.1064
0.9157 0.8528 0.2846 0.5322
0.1457 0.0317 0.1124 0.0172
0.0808 0.1025 0.0445 0.0267
0.0907 0.7934 0.0138 0.7603
0.4519 0.2527 0.2182 0.0378
0.9701 0.5416 0.3931 0.0949
0.2748 0.1414 0.1395 0.0366
0.0174 0.7420 0.0052 0.3003
0.5941 0.6614 0.4115 0.3712
0.0000 0.3108 0.0000 0.0099
0.8984 0.6614 0.2689 0.0696
0.0602 0.4180 0.0331 0.4288
